Date,Open,High,Low,Close,Adj Close,Volume
2025-12-09,278.16,280.03,276.92,277.18,277.18,31753900
2025-12-08,278.13,279.67,276.15,277.89,277.89,38211832
2025-12-05,280.54,281.14,278.05,278.78,278.78,47265848
2025-12-04,284.10,284.73,278.59,280.70,280.70,43989059
2025-12-03,286.20,288.62,283.30,284.15,284.15,43538688
2025-12-02,283.00,287.40,282.63,286.19,286.19,53669527
2025-12-01,278.01,283.42,276.14,283.10,283.10,45497800
2025-11-28,277.67,280.17,277.15,279.03,279.03,21271650
2025-11-26,276.32,278.47,275.90,277.34,277.34,31604169
2025-11-25,276.51,277.29,274.65,276.93,276.93,36577884
2025-11-24,274.96,278.38,274.22,276.45,276.45,46338573
2025-11-21,275.67,276.62,273.80,274.38,274.38,43851500
2025-11-20,272.93,275.87,271.93,274.80,274.80,43236371
2025-11-19,272.63,273.49,270.52,272.71,272.71,37409249
2025-11-18,274.27,275.36,271.74,273.30,273.30,42299719
2025-11-17,271.42,273.97,269.58,273.73,273.73,51440788
2025-11-14,271.05,274.63,270.36,271.79,271.79,51480111
2025-11-13,271.93,274.72,271.12,272.72,272.72,42371583
2025-11-12,271.97,273.35,270.19,272.48,272.48,39778278
2025-11-11,270.47,272.95,268.42,271.69,271.69,44607148
2025-11-10,269.46,273.73,267.46,269.43,269.43,41312406
2025-11-07,269.80,272.29,266.77,268.47,268.47,48227367
2025-11-06,267.89,273.40,267.89,269.77,269.77,51204047
2025-11-05,268.61,271.70,266.93,270.14,270.14,43683070
2025-11-04,268.33,271.49,267.62,270.04,270.04,49274848
2025-11-03,270.42,270.85,266.25,269.05,269.05,50194578
2025-10-31,276.99,277.32,269.16,270.37,270.37,86167117
2025-10-30,271.99,274.14,268.48,271.40,271.40,69145698